Equipo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,0.0269,0.1771,0.3264,0.1807,0.1114,0.0654,0.0427,0.0287,0.0173,0.0103,0.006,0.0028,0.0023,0.0006,0.001,0.0002,0.0001,0.0001,0.0,0.0
Aston Villa,0.0,0.0017,0.0105,0.0268,0.0422,0.0548,0.0688,0.0801,0.0908,0.0983,0.0966,0.095,0.0772,0.071,0.0552,0.0447,0.0372,0.0279,0.0144,0.0068
Bournemouth,0.0,0.0,0.0,0.0001,0.0005,0.0008,0.0017,0.0037,0.0061,0.0105,0.0187,0.0232,0.0319,0.047,0.0622,0.0881,0.113,0.1497,0.1847,0.2581
Brentford,0.0,0.002,0.0099,0.0214,0.0335,0.047,0.0643,0.0762,0.088,0.0902,0.0945,0.0879,0.0796,0.0738,0.0652,0.0582,0.0436,0.0344,0.0223,0.008
Brighton and Hove Albion,0.0,0.0009,0.0059,0.0165,0.0267,0.0421,0.0517,0.0673,0.0784,0.0878,0.0912,0.0917,0.0932,0.0881,0.0763,0.0603,0.0503,0.0361,0.0229,0.0126
Chelsea,0.0033,0.0411,0.1144,0.1659,0.1474,0.1265,0.1071,0.0793,0.0629,0.0485,0.0336,0.024,0.0166,0.012,0.0082,0.0045,0.0031,0.0011,0.0003,0.0002
Crystal Palace,0.0,0.0,0.0011,0.0032,0.0084,0.0132,0.0211,0.0321,0.0389,0.0566,0.0617,0.0709,0.0857,0.0971,0.1021,0.099,0.101,0.0868,0.0753,0.0458
Everton,0.0,0.0,0.0005,0.0017,0.0031,0.0047,0.0094,0.0169,0.0237,0.0327,0.0445,0.0594,0.0704,0.0899,0.0975,0.107,0.1235,0.116,0.108,0.0911
Fulham,0.0,0.0003,0.001,0.0044,0.0062,0.0167,0.0249,0.0332,0.0464,0.0534,0.0711,0.0792,0.0878,0.0911,0.1055,0.1004,0.0894,0.0808,0.0669,0.0413
Ipswich Town,0.0006,0.0102,0.0528,0.1009,0.13,0.1351,0.127,0.1165,0.0984,0.0682,0.0539,0.0392,0.0272,0.0182,0.0108,0.0057,0.0023,0.0023,0.0005,0.0002
Leicester City,0.0004,0.0071,0.0361,0.068,0.0885,0.1059,0.1029,0.1038,0.1015,0.0878,0.0753,0.0597,0.0466,0.0385,0.0311,0.0202,0.0127,0.0066,0.0057,0.0016
Liverpool,0.1604,0.526,0.1911,0.0693,0.0291,0.0135,0.0044,0.0034,0.0014,0.0009,0.0004,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
Manchester City,0.8034,0.1623,0.0275,0.0047,0.001,0.0008,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester United,0.0021,0.0296,0.0911,0.1315,0.1395,0.129,0.1159,0.0895,0.0712,0.0571,0.0448,0.0305,0.026,0.0171,0.0107,0.0066,0.0042,0.0024,0.001,0.0002
Newcastle United,0.0001,0.0017,0.0108,0.0237,0.0452,0.0601,0.0741,0.0855,0.09,0.0966,0.0974,0.0876,0.0771,0.0692,0.0556,0.0464,0.0345,0.0234,0.014,0.007
Nottingham Forest,0.0,0.0001,0.0,0.0005,0.0005,0.0012,0.003,0.0044,0.0081,0.0113,0.0177,0.0274,0.0366,0.049,0.0641,0.0901,0.113,0.1478,0.1926,0.2326
Southampton,0.0,0.0,0.0,0.0004,0.0005,0.0011,0.0029,0.0059,0.0078,0.0128,0.0181,0.0262,0.0404,0.0497,0.0704,0.0895,0.1138,0.146,0.1887,0.2258
Tottenham Hotspur,0.0028,0.0391,0.1127,0.1614,0.1505,0.1311,0.1044,0.0799,0.0626,0.0475,0.0323,0.0272,0.0193,0.0113,0.0086,0.0037,0.0031,0.0017,0.0007,0.0001
West Ham United,0.0,0.0007,0.008,0.016,0.0295,0.0392,0.0531,0.0653,0.0713,0.0803,0.0866,0.0929,0.0949,0.0867,0.0739,0.0678,0.0528,0.0415,0.0248,0.0147
Wolverhampton Wanderers,0.0,0.0001,0.0002,0.0029,0.0063,0.0118,0.0204,0.0282,0.0352,0.0492,0.0556,0.0752,0.0872,0.0897,0.1015,0.1076,0.1024,0.0954,0.0772,0.0539
